部门,车牌号,日期,驾驶行为评分
04无排行无提醒,皖AT0565,2020/8/22,56.76
02有排行无提醒,皖AT0601,2020/8/22,55.29
01有排行有提醒,皖AT0665,2020/8/22,54.4
03无排行有提醒,皖AT0596,2020/8/22,51.35
03无排行有提醒,皖AT0631,2020/8/22,49.45
04无排行无提醒,皖AT0658,2020/8/22,48.82
03无排行有提醒,皖AT0632,2020/8/22,47.53
03无排行有提醒,皖AT0563,2020/8/22,45.54
01有排行有提醒,皖AT0599,2020/8/22,44.28
01有排行有提醒,皖AT0568,2020/8/22,38.56
02有排行无提醒,皖AT0613,2020/8/22,37.14
02有排行无提醒,皖AT0541,2020/8/22,33.47
04无排行无提醒,皖AT0540,2020/8/22,30.27
04无排行无提醒,皖AT0623,2020/8/22,28.72
03无排行有提醒,皖AT0591,2020/8/22,25.24
01有排行有提醒,皖AT0553,2020/8/22,23.82
01有排行有提醒,皖AT0628,2020/8/22,15.15
04无排行无提醒,皖AT0608,2020/8/22,7.18
03无排行有提醒,粤TEST01,2020/8/22,0
02有排行无提醒,粤BN8G52,2020/8/22,0
04无排行无提醒,皖AT0556,2020/8/22,0
01有排行有提醒,皖AT0609,2020/8/22,0
01有排行有提醒,粤B048RX,2020/8/22,0
02有排行无提醒,皖AT0641,2020/8/22,0
02有排行无提醒,皖AT0580,2020/8/23,100
02有排行无提醒,皖AT0543,2020/8/23,100
03无排行有提醒,皖AT0633,2020/8/23,100
02有排行无提醒,皖AT0576,2020/8/23,100
02有排行无提醒,粤SL3H57,2020/8/23,100
03无排行有提醒,粤BS207S,2020/8/23,100
04无排行无提醒,粤B83CT2,2020/8/23,100
03无排行有提醒,粤B892VK,2020/8/23,100
04无排行无提醒,粤B0Y92H,2020/8/23,100
02有排行无提醒,粤B7U0H5,2020/8/23,100
03无排行有提醒,渝D865V3,2020/8/23,100
01有排行有提醒,粤L39ES3,2020/8/23,100
03无排行有提醒,皖AT0549,2020/8/23,100
04无排行无提醒,皖AT0560,2020/8/23,100
03无排行有提醒,皖AT0579,2020/8/23,100
01有排行有提醒,皖AT0619,2020/8/23,100
04无排行无提醒,皖AT0666,2020/8/23,100
03无排行有提醒,皖AT0621,2020/8/23,100
02有排行无提醒,皖AT0575,2020/8/23,100
03无排行有提醒,皖AT0589,2020/8/23,100
02有排行无提醒,皖AT0657,2020/8/23,100
01有排行有提醒,皖AT0547,2020/8/23,100
04无排行无提醒,皖AT0616,2020/8/23,100
03无排行有提醒,皖AT0539,2020/8/23,100
01有排行有提醒,皖AT0600,2020/8/23,100
04无排行无提醒,皖AT0661,2020/8/23,100
04无排行无提醒,粤BP439V,2020/8/23,100
01有排行有提醒,粤BH218W,2020/8/23,100
01有排行有提醒,粤S45B27,2020/8/23,100
02有排行无提醒,粤JCL629,2020/8/23,100
02有排行无提醒,皖AYY059,2020/8/23,100
02有排行无提醒,粤B3Q03K,2020/8/23,100
03无排行有提醒,粤B3AU48,2020/8/23,100
01有排行有提醒,粤LBY602,2020/8/23,100
04无排行无提醒,粤B4C0S6,2020/8/23,100
02有排行无提醒,闽C88DN2,2020/8/23,100
04无排行无提醒,粤STB959,2020/8/23,100
01有排行有提醒,皖AT0626,2020/8/23,100
03无排行有提醒,粤B533CJ,2020/8/23,100
04无排行无提醒,粤PR5795,2020/8/23,100
01有排行有提醒,粤B3R80W,2020/8/23,100
01有排行有提醒,粤B2K335,2020/8/23,100
02有排行无提醒,粤B9XN26,2020/8/23,100
03无排行有提醒,粤B2X562,2020/8/23,100
03无排行有提醒,粤STC809,2020/8/23,100
01有排行有提醒,粤BT2220,2020/8/23,100
03无排行有提醒,粤BY1047,2020/8/23,100
04无排行无提醒,粤B3RC91,2020/8/23,100
04无排行无提醒,粤S09158,2020/8/23,100
02有排行无提醒,粤BL05M1,2020/8/23,95.99
01有排行有提醒,皖AT0642,2020/8/23,79.86
02有排行无提醒,皖AT0620,2020/8/23,79.79
04无排行无提醒,皖AT0658,2020/8/23,69.09
02有排行无提醒,皖AT0541,2020/8/23,55.22
01有排行有提醒,皖AT0568,2020/8/23,54.29
